week,weekly_mileage,weekly_elevation_gain,weekly_avg_pace_min_km
253,14.858100,124.700000,5.749950
254,0.000000,0.000000,
255,17.396700,106.100000,5.389911
256,20.401000,103.000000,5.239122
257,27.914100,110.800000,4.999863
258,31.068500,118.800000,5.080172
259,38.889400,177.400000,4.997506
260,41.834400,176.400000,5.310223
261,14.249500,63.500000,5.085559
262,21.367900,94.200000,5.251647
263,32.842000,152.200000,5.260033
264,17.242000,86.700000,5.284576
265,0.000000,0.000000,
266,5.472600,32.300000,5.192535
267,28.285200,126.500000,5.580068
268,0.000000,0.000000,
269,40.006200,116.800000,5.413744
270,48.078100,133.400000,5.345122
271,40.610600,150.700000,5.267919
272,19.488000,80.000000,5.174124
273,9.198100,21.000000,4.982913
274,31.998500,56.800000,5.080446
275,25.670100,34.600000,5.008421
276,20.318200,33.300000,4.936461
277,17.957000,22.800000,4.909877
278,26.444200,38.000000,5.092484
279,0.000000,0.000000,
280,5.189400,2.600000,5.575468
281,32.804300,192.600000,5.415957
282,37.234400,468.400000,5.461348
283,47.065700,442.000000,5.351031
284,48.242100,191.500000,5.099626
285,48.358600,627.400000,5.442327
286,42.104600,474.400000,5.274958
287,6.441200,52.900000,5.713221
288,47.291200,374.200000,5.272651
289,56.375300,413.800000,5.323549
290,51.932200,416.200000,5.226687
291,51.929500,391.200000,5.380051
292,47.775300,354.700000,5.165152
293,30.834400,351.300000,5.387922
294,40.829300,152.200000,5.228272
295,29.342100,254.800000,4.825830
296,10.025800,44.400000,4.978821
297,20.718300,117.500000,5.372062
298,18.077600,120.200000,5.204415
299,23.235300,121.100000,5.094978
300,20.150700,130.500000,5.070957
301,34.591100,182.300000,5.169923
302,34.671300,195.300000,5.058459
303,32.750700,201.800000,5.135259
304,33.546500,331.100000,5.119262
305,22.740700,184.400000,5.877128
306,0.000000,0.000000,
307,10.329300,54.100000,5.327886
308,27.534700,172.900000,5.350824
309,41.381100,274.900000,5.336978
310,40.259400,244.800000,5.310147
311,32.207300,210.300000,5.277789
312,21.168300,157.500000,5.572798
313,47.008000,317.800000,5.454036
314,55.236400,368.100000,5.478875
315,46.853700,297.400000,5.264970
316,51.510900,357.000000,5.425389
317,29.171000,184.000000,5.411196
318,5.004800,24.200000,5.804428
319,11.269400,71.600000,5.535639
