date,distance_m,time_sec,elevation_gain,avg_heartrate,max_heartrate,avg_speed_ms,distance_km,pace_min_km
2025-07-27T11:18:17Z,8052.4,2620,105.1,,,3.073,8.0524,5.422813902273441
2025-07-25T09:15:53Z,5013.2,1564,41.4,,,3.205,5.013199999999999,5.1996063725099075
2025-07-24T09:43:49Z,6443.6,2129,97.6,,,3.027,6.4436,5.5067560576903185
2025-07-23T09:24:37Z,11278.2,3794,170.8,,,2.973,11.2782,5.60668664621423
2025-07-21T09:33:44Z,6447.0,2094,53.5,,,3.079,6.447,5.413370559950364
2025-07-20T09:15:23Z,10020.5,3388,116.0,,,2.958,10.0205,5.6351146815694495
2025-07-19T08:31:27Z,8051.2,2581,68.4,,,3.119,8.0512,5.34288884472708
2025-07-17T10:40:02Z,8291.7,2604,3.2,,,3.184,8.2917,5.234149812463065
2025-07-14T10:10:12Z,6440.9,2087,5.0,,,3.086,6.4409,5.400384004305816
2025-07-12T09:48:00Z,5189.4,1736,2.6,,,2.989,5.1894,5.575467941059339
2025-06-27T08:42:40Z,5153.7,1574,7.5,,,3.274,5.1537,5.090194100031693
2025-06-25T09:51:16Z,5637.3,1730,9.5,,,3.259,5.6373,5.114741690762126
2025-06-24T09:50:17Z,10015.4,3092,11.9,,,3.239,10.0154,5.14540940285294
2025-06-23T09:17:15Z,5637.8,1684,9.1,,,3.348,5.6378,4.978301228611633
2025-06-19T08:32:06Z,5636.7,1691,8.8,,,3.333,5.636699999999999,4.999970431872077
2025-06-18T08:33:30Z,6683.0,1932,9.2,,,3.459,6.683,4.818195421218016
2025-06-17T08:21:37Z,5637.3,1667,4.8,,,3.382,5.6373,4.928482311271945
2025-06-15T08:25:38Z,5019.0,1527,8.8,,,3.287,5.019,5.0707312213588365
2025-06-14T10:06:27Z,6845.0,2003,9.6,,,3.417,6.845,4.877039201363526
2025-06-11T08:36:18Z,8454.2,2488,14.9,,,3.398,8.4542,4.904859911838692
2025-06-07T11:56:54Z,8371.7,2527,12.8,,,3.313,8.3717,5.030838021747872
2025-06-06T09:47:10Z,5640.1,1557,8.5,,,3.622,5.6401,4.600982252087729
2025-06-05T10:02:44Z,5211.8,1724,10.7,,,3.023,5.2118,5.513130460365581
2025-06-02T17:13:22Z,6446.5,1906,2.6,,,3.382,6.4465,4.927738566147005
2025-06-01T10:44:59Z,10015.3,3268,5.9,,,3.065,10.0153,5.438345997290812
2025-05-30T10:50:14Z,5155.1,1528,13.2,,,3.374,5.1551,4.940091689136324
2025-05-29T09:52:12Z,5150.4,1534,17.8,,,3.357,5.150399999999999,4.9640157398778095
2025-05-28T08:27:50Z,6443.7,1836,9.2,,,3.51,6.4437,4.74882443316728
2025-05-26T09:08:15Z,5234.0,1588,10.7,,,3.296,5.234,5.056680677620685
2025-05-23T08:26:06Z,5638.7,1654,12.6,,,3.409,5.6387,4.888833714626894
2025-05-21T09:15:52Z,3559.4,1096,8.4,,,3.248,3.5594,5.131951077897023
2025-05-17T12:57:28Z,6442.9,1996,27.0,,,3.228,6.4429,5.163306378597629
2025-05-14T10:45:59Z,6443.5,1995,22.6,,,3.23,6.4435,5.160239000543183
2025-05-13T09:49:02Z,6601.6,2059,30.4,,,3.206,6.6016,5.198234771368558
2025-05-11T14:52:20Z,8048.4,2538,30.1,,,3.171,8.048399999999999,5.255702996868943
2025-05-09T13:27:58Z,10014.1,3159,28.3,,,3.17,10.014100000000001,5.257586802608322
2025-05-08T12:54:33Z,8051.6,2469,31.0,,,3.261,8.0516,5.1107854339510155
2025-05-06T17:49:59Z,8052.5,2708,48.6,,,2.974,8.0525,5.604884611404326
2025-05-05T11:08:35Z,6444.0,1962,12.7,,,3.284,6.444,5.074487895716946
2025-05-04T12:05:30Z,14492.3,4566,42.1,,,3.174,14.492299999999998,5.251064358314416
2025-05-03T09:07:07Z,8854.0,2934,15.7,,,3.018,8.854,5.52292749039982
2025-05-02T11:54:47Z,6843.4,2178,28.0,,,3.142,6.8434,5.304380863313558
2025-05-01T08:55:19Z,5009.0,1568,4.4,,,3.195,5.009,5.217275570639515
2025-04-29T12:23:26Z,12879.4,4173,43.2,,,3.086,12.8794,5.400096277776915
2025-04-27T12:05:34Z,9660.3,3086,8.6,,,3.13,9.6603,5.324196280998865
2025-04-26T09:03:24Z,7487.6,2424,22.9,,,3.089,7.4876000000000005,5.395587371120252
2025-04-25T09:14:40Z,8369.9,2734,30.3,,,3.061,8.3699,5.44411123987941
2025-04-22T14:00:08Z,6440.0,2088,24.8,,,3.084,6.44,5.403726708074533
2025-04-21T10:10:24Z,8048.4,2663,30.2,,,3.022,8.048399999999999,5.51455361728211
2025-04-12T09:11:15Z,6508.3,2242,11.3,,,2.903,6.5083,5.741386639624275
2025-04-10T11:36:56Z,5017.0,1646,26.6,,,3.048,5.017,5.468075210949438
2025-04-09T17:50:37Z,5874.9,1968,32.2,,,2.985,5.874899999999999,5.583073754446884
2025-04-08T17:16:29Z,5880.4,1927,28.4,,,3.052,5.8804,5.461646600004535
2025-04-07T09:03:49Z,5004.6,1687,28.0,,,2.967,5.0046,5.618164621881203
2025-04-02T13:20:46Z,5472.6,1705,32.3,,,3.21,5.472600000000001,5.19253493159863
2025-03-22T09:39:21Z,5645.3,1914,24.3,,,2.949,5.6453,5.65071829663614
2025-03-19T09:31:05Z,6442.2,2094,36.0,,,3.077,6.4422,5.417403992424948
2025-03-17T08:59:49Z,5154.5,1459,26.4,,,3.533,5.1545,4.717560707472435
2025-03-16T09:01:04Z,8977.6,3023,53.7,,,2.97,8.9776,5.612116081506564
2025-03-14T11:22:54Z,7005.1,2117,33.6,,,3.309,7.0051000000000005,5.036806517156547
2025-03-13T10:34:31Z,10012.6,3072,34.1,,,3.259,10.0126,5.113556918282963
2025-03-12T11:01:02Z,6846.7,2153,30.8,,,3.18,6.8467,5.240967668122355
2025-03-08T11:55:49Z,8051.2,2517,34.0,,,3.199,8.0512,5.210403418124007
2025-03-07T12:35:21Z,6682.4,2101,33.1,,,3.181,6.6823999999999995,5.240133285446347
2025-03-06T10:48:18Z,6634.3,2115,27.1,,,3.137,6.6343000000000005,5.313296052334081
2025-02-27T11:41:05Z,7491.1,2263,29.6,,,3.31,7.4911,5.0348635936867305
2025-02-24T11:30:27Z,6758.4,2085,33.9,,,3.241,6.7584,5.141749526515151
2025-02-23T09:08:55Z,8788.2,2958,47.0,,,2.971,8.788200000000002,5.609794952322431
2025-02-22T09:27:10Z,11552.3,3782,37.1,,,3.055,11.552299999999999,5.456344912557096
2025-02-21T15:26:58Z,6685.1,2023,31.9,,,3.305,6.6851,5.0435545716095
2025-02-19T08:47:25Z,8046.7,2488,32.6,,,3.234,8.0467,5.1532512292823975
2025-02-17T11:36:25Z,6762.1,2078,27.8,,,3.254,6.7621,5.121683106332845
2025-02-16T11:32:28Z,8052.3,2537,29.9,,,3.174,8.0523,5.251087680952439
2025-02-15T10:39:27Z,12879.4,3832,54.2,,,3.361,12.8794,4.958823133582827
2025-02-13T11:38:32Z,6443.8,1957,35.3,,,3.293,6.4438,5.06171306785851
2025-02-12T13:31:51Z,6443.9,1844,31.3,,,3.495,6.443899999999999,4.769368446644631
2025-02-10T15:36:47Z,5070.0,1491,26.7,,,3.4,5.07,4.90138067061144
2025-02-09T11:21:25Z,11270.9,3340,27.7,,,3.375,11.2709,4.938972634542642
2025-02-08T10:22:21Z,6516.9,2050,28.7,,,3.179,6.5169,5.242779030929839
2025-02-06T11:39:15Z,8050.6,2491,32.6,,,3.232,8.050600000000001,5.156965526378985
2025-02-04T13:07:41Z,5230.1,1589,29.8,,,3.291,5.2301,5.0636380438869875
2025-02-01T13:59:46Z,5013.2,1520,23.2,,,3.298,5.013199999999999,5.053325886326764
2025-01-31T13:52:35Z,10012.6,2972,31.5,,,3.369,10.0126,4.947099987349272
2025-01-29T08:40:16Z,6441.9,1977,30.3,,,3.258,6.4418999999999995,5.114950558065168
2025-01-27T09:17:16Z,6446.4,1905,25.8,,,3.384,6.4464,4.925229585505089
2025-01-25T09:07:52Z,7328.0,2192,27.3,,,3.343,7.328,4.985443959243085
2025-01-22T09:43:20Z,8057.0,2586,40.8,,,3.116,8.057,5.349385627404741
2025-01-20T09:40:35Z,5016.0,1635,34.9,,,3.068,5.016,5.432615629984051
2025-01-16T15:52:47Z,5722.0,1842,24.8,,,3.106,5.722,5.365256903180706
2025-01-15T11:54:41Z,6442.2,2080,40.8,,,3.097,6.4422,5.38118448149183
2025-01-13T09:50:25Z,5232.5,1704,40.5,,,3.071,5.2325,5.427615862398471
2025-01-04T09:59:14Z,6806.9,2582,67.4,,,2.636,6.8069,6.322016385334489
2024-12-31T14:09:34Z,8051.2,2544,57.3,,,3.165,8.0512,5.266295707472178
2024-12-28T10:45:39Z,5525.9,1776,49.7,,,3.111,5.5259,5.356593496082087
2024-12-24T14:36:22Z,5392.0,1775,47.5,,,3.038,5.392,5.486523244312561
2024-12-18T20:06:46Z,5556.5,2217,32.7,,,2.506,5.5565,6.64986952218123
2024-12-15T18:29:46Z,5633.5,2472,33.7,,,2.279,5.6335,7.313393094878851
2024-12-11T09:54:36Z,5394.0,1770,30.8,,,3.047,5.394,5.469039673711531
2024-11-14T15:43:54Z,5012.3,1635,30.4,,,3.066,5.0123,5.436625900285298
2024-10-20T09:46:30Z,5077.6,1951,139.7,,,2.603,5.0776,6.403944120581902
2024-10-13T10:33:47Z,5234.2,1622,25.3,,,3.227,5.2341999999999995,5.164749786659535
2024-10-01T16:16:32Z,5008.0,1497,27.8,,,3.345,5.008,4.98202875399361
2024-09-26T14:33:47Z,5637.7,1647,45.5,,,3.423,5.6377,4.869006864501481
2024-09-24T14:46:04Z,5016.8,1573,19.9,,,3.189,5.0168,5.225774730239728
2024-09-21T10:36:40Z,6444.9,1968,38.0,,,3.275,6.4449,5.089295411876057
2024-09-19T15:24:11Z,5960.0,1771,36.3,,,3.365,5.96,4.952460850111857
2024-09-18T16:32:28Z,9176.9,2784,59.0,,,3.296,9.1769,5.0561736534123725
2024-09-17T16:07:23Z,4838.1,1380,22.4,,,3.506,4.838100000000001,4.753932328806762
2024-09-16T16:31:32Z,6440.3,1913,43.8,,,3.367,6.440300000000001,4.950597539452096
2024-09-14T12:29:55Z,6443.9,1898,47.0,,,3.395,6.443899999999999,4.909035418509495
2024-09-12T15:31:12Z,11272.4,3472,93.0,,,3.247,11.2724,5.133482369918267
2024-09-11T16:21:24Z,5009.7,1448,22.4,,,3.46,5.0097,4.817321063802889
2024-09-10T08:48:52Z,8045.8,2766,123.0,,,2.909,8.0458,5.729697481916031
2024-09-09T16:33:23Z,5234.0,1664,32.2,,,3.145,5.234,5.298688065214622
2024-09-08T10:22:07Z,5008.4,1468,20.2,,,3.412,5.0084,4.885126321113861
2024-09-07T11:23:07Z,6443.0,2174,46.8,,,2.964,6.443,5.623674271819546
2024-09-05T16:04:57Z,8050.9,2616,51.5,,,3.078,8.0509,5.415543603820691
2024-09-04T18:12:00Z,5010.5,1481,24.9,,,3.383,5.0105,4.926321391744004
2024-09-03T09:12:53Z,5555.3,1821,33.3,,,3.051,5.5553,5.46325130956024
2024-09-02T08:51:12Z,5879.4,1824,43.1,,,3.223,5.8793999999999995,5.1705956390107835
2024-08-30T15:44:29Z,5149.5,1856,22.0,,,2.774,5.1495,6.007055701200764
2024-08-20T13:11:41Z,5014.4,1614,50.0,,,3.107,5.014399999999999,5.364550095724314
2024-08-17T11:21:23Z,11260.9,3641,16.5,,,3.093,11.2609,5.388852874400211
2024-08-15T18:00:53Z,6438.7,2015,6.3,,,3.195,6.4387,5.215856202856685
2024-08-08T10:20:20Z,4999.3,1597,52.2,,,3.13,4.9993,5.324078704351943
2024-08-07T08:56:13Z,8048.6,2674,104.0,,,3.01,8.0486,5.537194874470923
2024-08-05T19:49:01Z,7531.1,2325,28.3,,,3.239,7.5311,5.145330695383144
2024-08-02T08:33:45Z,5238.2,1712,2.2,,,3.06,5.2382,5.4471637839970475
2024-07-31T16:40:58Z,5391.0,1829,2.3,,,2.948,5.391,5.654485871514252
2024-07-30T16:45:59Z,7245.5,2484,5.1,,,2.917,7.2455,5.713891380857084
2024-07-18T18:35:15Z,4514.5,1481,22.9,,,3.048,4.5145,5.467567467788976
2024-07-08T15:09:01Z,5958.4,2173,8.9,,,2.742,5.958399999999999,6.078253669889009
2024-05-19T11:33:01Z,6443.8,2074,109.2,,,3.107,6.4438,5.364329536401916
2024-05-18T08:21:29Z,4832.6,1542,34.8,,,3.134,4.8326,5.3180482555974
2024-05-15T12:54:06Z,5007.3,1832,28.1,,,2.733,5.0073,6.09776393132693
2024-05-13T09:00:45Z,4835.1,1506,53.7,,,3.211,4.835100000000001,5.191205972989183
2024-05-11T09:33:51Z,5011.0,1526,45.6,,,3.284,5.011,5.075500565422737
2024-05-08T18:22:59Z,8046.6,2468,111.3,,,3.26,8.0466,5.1118899079528415
2024-05-07T08:52:09Z,5009.0,1652,112.4,,,3.032,5.009,5.49677247620949
2024-05-04T10:05:59Z,6038.7,1946,19.6,,,3.103,6.0386999999999995,5.370913165637195
2024-05-01T08:13:03Z,4840.8,1435,52.0,,,3.373,4.8408,4.940643419820415
2024-04-21T09:05:34Z,10315.9,2569,59.1,,,4.002,10.3159,4.15055076790844
2024-04-20T09:50:54Z,5010.0,1454,34.8,,,3.446,5.01,4.836992681304059
2024-04-18T13:26:20Z,8853.1,2609,71.0,,,3.393,8.8531,4.9116505329583235
2024-04-17T10:13:49Z,5005.1,1489,35.6,,,3.361,5.0051000000000005,4.958275891923571
2024-04-15T14:34:26Z,5879.4,1611,52.7,,,3.65,5.8793999999999995,4.566792529849986
2024-04-14T11:22:19Z,5713.5,1675,39.9,,,3.411,5.7135,4.8860885038359445
2024-04-10T15:28:12Z,6843.2,1918,56.7,,,3.568,6.8431999999999995,4.671303873431533
2024-04-09T15:54:58Z,5151.8,1525,27.0,,,3.378,5.151800000000001,4.933550733077112
2024-04-08T15:56:56Z,5006.0,1449,22.4,,,3.455,5.006,4.824210946863763
2024-04-07T22:56:12Z,160.9,60,0.0,,,2.682,0.16090000000000002,6.215040397762585
2024-04-07T11:37:27Z,8045.9,2398,57.5,,,3.355,8.0459,4.967333258761191
2024-04-05T15:27:24Z,12876.2,4044,142.0,,,3.184,12.8762,5.234463583976639
2024-04-03T17:09:52Z,9658.9,2791,51.9,,,3.461,9.6589,4.8159383228594015
2024-04-02T16:10:43Z,10012.7,3086,75.1,,,3.245,10.0127,5.136809585160179
2024-04-01T16:18:35Z,7646.9,2303,54.2,,,3.32,7.6469,5.019463224749027
2024-03-31T13:59:46Z,11436.9,3737,67.7,,,3.06,11.4369,5.445823023138554
2024-03-30T16:31:58Z,8450.0,2701,44.5,,,3.128,8.45,5.32741617357002
2024-03-28T16:16:30Z,6438.7,1914,58.8,,,3.364,6.4387,4.954416264152702
2024-03-27T17:26:25Z,9659.8,2793,46.5,,,3.459,9.659799999999999,4.818940350731899
2024-03-26T15:46:04Z,10014.1,2974,72.5,,,3.367,10.014100000000001,4.949687607140598
2024-03-25T18:41:51Z,8770.3,2691,46.2,,,3.259,8.770299999999999,5.113850153358495
2024-03-24T10:45:45Z,5072.3,1724,20.8,,,2.942,5.0723,5.664754319210878
2024-03-23T09:37:06Z,5959.2,2089,41.8,,,2.853,5.9592,5.842506824182218
2024-03-22T15:21:42Z,17707.1,5372,197.7,,,3.296,17.707099999999997,5.056352160056325
2024-03-20T16:00:45Z,9662.3,2669,55.9,,,3.62,9.6623,4.603803787228023
2024-03-19T15:41:26Z,10016.1,2923,82.3,,,3.427,10.0161,4.8638358908823465
2024-03-18T15:51:13Z,6451.0,2054,34.4,,,3.141,6.451,5.306670800392705
2024-03-17T13:19:14Z,11267.6,3836,65.2,,,2.937,11.2676,5.674086170376419
2024-03-14T09:15:20Z,8052.7,2377,55.2,,,3.388,8.0527,4.919674974439215
2024-03-13T18:24:21Z,6437.4,1800,0.0,,,3.576,6.437399999999999,4.660266567247647
2024-03-12T16:02:02Z,6602.3,1886,58.7,,,3.501,6.6023000000000005,4.760967137714634
2024-03-11T15:54:51Z,5311.2,1506,41.6,,,3.527,5.3111999999999995,4.725862328663956
2024-03-10T09:43:14Z,11590.3,3518,44.5,,,3.295,11.5903,5.0588279279512465
